V1;V2;V3;V4;V5;V6;V7
168;12054_8#41;T126N18_C8;ST239;ERS254941;116;current;T126_N18_C09
169;5150_8#12;T126N19;NA;ERS007968;68;Tong;T126_N19_C01
170;12054_8#42;T126N19_C1;ST239;ERS254942;112.72;current;T126_N19_C02
171;12054_8#43;T126N19_C2;ST239;ERS254943;116.36;current;T126_N19_C03
172;12054_8#44;T126N19_C4;ST239;ERS254944;118.12;current;T126_N19_C04
173;12054_8#45;T126N19_C5;ST239;ERS254945;126.48;current;T126_N19_C05
174;12054_8#46;T126N19_C6;ST239;ERS254946;125.84;current;T126_N19_C06
175;12054_8#47;T126N19_C7;ST239;ERS254947;128.28;current;T126_N19_C07
176;12054_8#48;T126N19_C8;ST239;ERS254948;124.32;current;T126_N19_C08
177;12054_7#34;T126N2_C1;ST239;ERS254840;99.18;current;T126_N02_C01
178;12054_7#35;T126N2_C2;ST239;ERS254841;115.72;current;T126_N02_C02
179;12054_7#36;T126N2_C3;ST239;ERS254842;118.96;current;T126_N02_C03
180;12054_7#37;T126N2_C4;ST239;ERS254843;115.32;current;T126_N02_C04
181;12054_7#38;T126N2_C5;ST239;ERS254844;122.16;current;T126_N02_C05
182;12054_7#39;T126N2_C6;ST239;ERS254845;129.08;current;T126_N02_C06
183;12054_7#40;T126N2_C7;ST239;ERS254846;116.52;current;T126_N02_C07
184;12054_7#41;T126N2_C8;ST239;ERS254847;95.49;current;T126_N02_C08
185;5227_1#9;T126N20;NA;ERS008035;138.6;Tong;T126_N20_C01
186;5985_7#10;T126 N20;NA;ERS023910;390.7;Tong;T126_N20_C02
187;5985_7#11;T126 N20;NA;ERS023911;136.1;Tong;T126_N20_C03
188;5985_7#3;T126 N20;NA;ERS023903;609.4;Tong;T126_N20_C04
189;5985_7#4;T126 N20;NA;ERS023904;560.9;Tong;T126_N20_C05
190;5985_7#5;T126 N20;NA;ERS023905;500.2;Tong;T126_N20_C06
191;5985_7#6;T126 N20;NA;ERS023906;575.2;Tong;T126_N20_C07
192;5985_7#7;T126 N20;NA;ERS023907;459.6;Tong;T126_N20_C08
193;5985_7#8;T126 N20;NA;ERS023908;564.7;Tong;T126_N20_C09
194;5985_7#9;T126 N20;NA;ERS023909;536.3;Tong;T126_N20_C10
195;5985_8#1;T126 N20;NA;ERS023912;525.1;Tong;T126_N20_C11
196;5985_8#10;T126 N20;NA;ERS023921;515;Tong;T126_N20_C12
197;5985_8#11;T126 N20;NA;ERS023922;439.8;Tong;T126_N20_C13
198;5985_8#2;T126 N20;NA;ERS023913;487.9;Tong;T126_N20_C14
199;5985_8#3;T126 N20;NA;ERS023914;516.7;Tong;T126_N20_C15
200;5985_8#4;T126 N20;NA;ERS023915;514.8;Tong;T126_N20_C16
201;5985_8#5;T126 N20;NA;ERS023916;493;Tong;T126_N20_C17
202;5985_8#6;T126 N20;NA;ERS023917;522;Tong;T126_N20_C18
203;5985_8#7;T126 N20;NA;ERS023918;491.7;Tong;T126_N20_C19
204;5985_8#8;T126 N20;NA;ERS023919;547.8;Tong;T126_N20_C20
205;5985_8#9;T126 N20;NA;ERS023920;496.9;Tong;T126_N20_C21
206;4752_7#1;T126N3;NA;ERS007946;70.8;Tong;T126_N03_C01
207;12054_7#42;T126N3_C1;ST239;ERS254848;94.86;current;T126_N03_C02
208;12054_7#43;T126N3_C2;ST239;ERS254849;102.93;current;T126_N03_C03
209;12054_7#44;T126N3_C3;ST239;ERS254850;109.62;current;T126_N03_C04
210;12054_7#45;T126N3_C5;ST239;ERS254851;113.88;current;T126_N03_C05
211;12054_7#46;T126N3_C6;ST239;ERS254852;113.08;current;T126_N03_C06
212;12054_7#47;T126N3_C7;ST239;ERS254853;120.52;current;T126_N03_C07
213;12054_7#48;T126N3_C8;ST239;ERS254854;119.12;current;T126_N03_C08
214;5704_7#2;T126N4;NA;ERS007947;113.6;Tong;T126_N04_C01
215;12054_7#49;T126N4_C1;ST239;ERS254855;98.79;current;T126_N04_C02
