12162_7#73	T012_N07_C07
12162_7#74	T012_N07_C08
12162_7#75	T012_N09_C01
12162_7#76	T012_N09_C02
12162_7#77	T012_N09_C03
12162_7#78	T012_N09_C04
12162_7#79	T012_N09_C05
12162_7#80	T012_N09_C06
12162_7#81	T012_N09_C07
12162_7#82	T012_N09_C08
12378_8#17	T012_T10_C01
12378_8#18	T012_T11_C01
12378_8#19	T012_T12_C01
12378_8#20	T012_T13_C01
12378_8#21	T012_T14_C01
12378_8#22	T012_T15_C01
12378_8#23	T012_T16_C01
12378_8#24	T012_T17_C01
12378_8#25	T012_T18_C01
12378_8#26	T012_T19_C01
12378_8#9	T012_T02_C01
12378_8#27	T012_T20_C01
12378_8#28	T012_T21_C01
12378_8#29	T012_T25_C01
12378_8#30	T012_T27_C01
12378_8#10	T012_T03_C01
12378_8#11	T012_T04_C01
12378_8#12	T012_T05_C01
12378_8#13	T012_T06_C01
12378_8#14	T012_T07_C01
12378_8#15	T012_T08_C01
12378_8#16	T012_T09_C01
12378_8#70	T137_C03_C01
12083_7#1	T137_N10_C01
12083_7#2	T137_N10_C02
12083_7#3	T137_N10_C03
12083_7#4	T137_N10_C04
12083_7#5	T137_N10_C05
12083_7#6	T137_N10_C06
12083_7#7	T137_N10_C07
12083_7#8	T137_N10_C08
12083_7#10	T137_N11_C01
12083_7#11	T137_N11_C02
12083_7#12	T137_N11_C03
12083_7#13	T137_N11_C04
12083_7#14	T137_N11_C05
12083_7#15	T137_N11_C06
12083_7#9	T137_N11_C07
5227_1#7	T137_N12_C01
10456_5#17	T137_N12_C02
10456_5#18	T137_N12_C03
12083_7#16	T137_N12_C04
12083_7#19	T137_N12_C05
12083_7#20	T137_N12_C06
12083_7#21	T137_N12_C07
12083_7#22	T137_N12_C08
12083_7#23	T137_N12_C09
5227_1#8	T137_N03_C01
12054_8#49	T137_N04_C01
12054_8#50	T137_N04_C02
12054_8#51	T137_N04_C03
12054_8#52	T137_N04_C04
12054_8#53	T137_N04_C05
12054_8#54	T137_N04_C06
12054_8#55	T137_N04_C07
12054_8#56	T137_N05_C01
12054_8#57	T137_N05_C02
12054_8#58	T137_N05_C03
12054_8#59	T137_N05_C04
12054_8#60	T137_N05_C05
